transaction_id,timestamp,user_id,amount,currency,status
TXN001,2025-05-01T10:15:30,USR1001,150.75,EUR,completed
TXN002,2025-05-02T09:30:00,USR1002,200.00,USD,pending
TXN003,2025-05-03T12:45:10,USR1003,320.50,GBP,failed
TXN004,2025-05-04T08:20:15,USR1001,50.00,EUR,completed
TXN005,2025-05-05T11:05:45,USR1004,0.00,JPY,completed
TXN006,2025-05-06T14:30:00,USR1005,500.00,USD,completed
TXN007,2025-05-07T16:45:20,USR1006,75.25,USD,pending
TXN008,2025-05-08T09:15:10,USR1007,1200.00,EUR,failed
TXN009,2025-05-09T10:00:00,USR1008,300.00,GBP,completed
TXN010,2025-05-10T12:30:45,USR1009,0.00,USD,failed
TXN011,2025-05-11T08:45:30,USR1001,250.00,EUR,pending
TXN012,2025-05-12T15:20:00,USR1010,100.00,JPY,completed
TXN013,2025-05-13T11:10:15,USR1002,450.75,USD,completed
TXN014,2025-05-14T13:05:50,USR1003,80.00,EUR,pending
TXN015,2025-05-15T10:25:30,USR1004,600.00,GBP,completed
TXN016,2025-05-16T09:40:00,USR1005,0.00,EUR,failed
TXN017,2025-05-17T14:50:10,USR1006,200.00,USD,completed
TXN018,2025-05-18T16:30:20,USR1007,75.00,JPY,pending
TXN019,2025-05-19T08:15:00,USR1008,500.00,EUR,completed
TXN020,2025-05-20T12:00:45,USR1009,320.00,GBP,failed
